band,name,followers,spotifyName,imageUrl
112,Daron Jones,1275,Daron Jones,81bdae6a8925d9406e0c95e1051ff4c27a113048
112,"Marvin ""Slim"" Scandrick",2138,Slim,ab67616d00001e02f2efb644f1f27a1d28612756
112,"Quinnes ""Q"" Parker",3508,Q Parker,ae930d9dd3d106c4c03f74abf493f90360c4980d
*NSYNC,JC Chasez,30773,JC Chasez,56d334c814b5633b4cf6d1effb2ad11d75ae86d7
*NSYNC,Joey Fatone,1129,Joey Fatone,ab67616d00001e027213747c2ede9c255a475654
*NSYNC,Justin Timberlake,10335436,Justin Timberlake,f53e7e93947e91e5c257bdb2ca1b7c2b7e755a42
5 Seconds of Summer,Ashton Irwin,129518,Ashton Irwin,d917d897a2176d21fe3f9dd40549eee05fd8f2c6
5ive,"""Abz Love"" Abidin Breen",223,Abz Love,ab67616d00001e02d83b58106c17a67faec60b3f
98º,Jeff Timmons,111,Jeff Timmons,24866457f1f23943f80af8c1f0c0bb9651356f50
98º,Nick Lachey,141828,Nick Lachey,e1362bb3402517b8e79584cebdce664f7bd1d83b
Aventura,"Anthony ""Romeo"" Santos",12258997,Romeo Santos,2b956fd6d46ab322d8d4e9b4b7dc84a0dae9c1cf
Aventura,Henry Santos,39991,Henry Santos,1cb5d9ca00a4aee88e1fd30da4a97371a4febe59
Az Yet,Marc Nelson,1612,Marc Nelson,ab67616d00001e02dc1e6e14c0b318a50d427471
B2K,"""Omarion"" Ishmael Grandberry",1958145,Omarion,6dfe920c0b6c780b071ad538f6707dc094315d7f
Backstreet Boys,"""AJ"" McLean",27963,AJ McLean,3374377277f114a1fbdcce9a1510ff546bbc6603
Backstreet Boys,Brian Littrell,27559,Brian Littrell,ab67616d00001e029620c87e4ff122a3b1d6e842
Backstreet Boys,Howie Dorough,19343,Howie D,63bafc6ba6efba9beae41a5f25329f6d39b9a53c
Backstreet Boys,Nick Carter,144180,Nick Carter,3a089ff05d9815bb09d6ad59f0ab8c84b96486f2
BBMak,Christian Burns,7735,Christian Burns,b6eb17b6f477f216e20d7d20c00fe6a39b75b471
Big Time Rush,Carlos PenaVega,12036,Carlos Pena Vega,ab67616d00001e02cb7043363099184ad7efd077
