name,id,followers,spotifyName,topRank,ranks,dates,titles
Backstreet Boys,5rSXSAkZ67PYJSvpUpkOr7,3676534,Backstreet Boys,2,2|4|5|6|6|9|13|25|27|28|30|35|52|63|69|70|86,1997-09-06|1998-05-09|1999-02-06|1999-06-26|2000-03-18|2000-12-02|2005-06-04|1999-11-13|2001-06-30|2001-11-24|2000-07-01|1998-12-05|2001-03-03|2018-07-28|1995-12-02|2005-09-17|2007-09-29,Quit Playing Games (With My Heart)|Everybody [Backstreet's Back]|All I Have To Give|I Want It That Way|Show Me The Meaning Of Being Lonely|Shape Of My Heart|Incomplete|Larger Than Life|More Than That|Drowning|The One|I'll Never Break Your Heart|The Call|Don't Go Breaking My Heart|We've Got It Goin' On|Just Want You To Know|Inconsolable
BBMak,7y1GT7SdgGiFLWoktv2TSw,60068,BBMAK,13,13|54|56,2000-07-29|2001-01-20|2002-09-07,Back Here|Still On Your Side|Out Of My Heart (Into Your Head)
Big Time Rush,0GWCNkPi54upO9WLlwjAHd,2039449,Big Time Rush,72,72|79|93|97,2011-05-07|2011-01-15|2010-05-15|2012-07-14,Boyfriend|Big Night|Halfway There|Windows Down
Blackstreet,2P3cjUru4H3fhSXXNxE9kA,545047,Blackstreet,1,1|7|14|34|43|47|58|80,1996-11-09|1995-01-07|1999-01-23|1994-08-20|1995-04-22|1999-04-10|1997-08-09|1995-10-07,No Diggity|Before I Let You Go|Take Me There|Booti Call|Joy|Girlfriend/Boyfriend|Fix|Tonight's The Night
Boyz II Men,6O74knDqdv3XaWtkII7Xjp,2022528,Boyz II Men,1,1|1|1|1|2|2|3|3|7|16|21|32|32|46|49|56|80,1992-08-15|1994-08-27|1994-12-03|1997-10-04|1991-12-14|1995-06-17|1991-09-07|1993-01-16|1998-02-14|1992-03-07|1995-03-18|1994-01-08|1999-02-13|1996-01-06|1992-05-02|1995-10-07|2001-01-06,"End Of The Road (From ""Boomerang"")|I'll Make Love To You|On Bended Knee|4 Seasons Of Loneliness|It's So Hard To Say Goodbye To Yesterday|Water Runs Dry|Motownphilly|In The Still Of The Nite (From ""The Jacksons"")|A Song For Mama|Uhh Ahh|Thank You|Let It Snow|I Will Get There|I Remember|Please Don't Go|Vibin'|Thank You In Advance"
Brother Beyond,6To7KuC86pBGCtkRUiq80O,14586,Brother Beyond,27,27,1990-08-25,The Girl I Used To Know
BTS,3Nrfpe0tUJi4K4DXYWgMUX,29374524,BTS,1,1|1|4|8|10|11|13|22|28|57|67|69|70|72|76|84|87,2020-09-05|2020-12-05|2020-03-07|2019-04-27|2018-06-02|2018-09-08|2020-12-05|2020-12-05|2017-12-16|2020-02-01|2017-10-14|2020-12-05|2020-12-05|2020-12-05|2019-11-02|2020-03-07|2020-03-07,Dynamite|Life Goes On|ON|Boy With Luv|Fake Love|IDOL|Blue & Grey|Stay|MIC Drop|Black Swan|DNA|Fly To My Room|Telepathy|Dis-ease|Make It Right|My Time|Filter
Color Me Badd,1QtIfAa6y7w2JhxYJhYeUG,317852,Color Me Badd,1,1|1|2|15|16|18|21|23|23|48,1991-09-21|1992-01-25|1991-06-08|1992-10-17|1992-04-04|1992-06-13|1996-06-01|1993-12-11|1994-02-19|1998-08-01,"I Adore Mi Amor|All 4 Love|I Wanna Sex You Up (From ""New Jack City"")|Forever Love (From ""Mo' Money"")|Thinkin' Back|Slow Motion|The Earth, The Sun, The Rain|Time And Chance|Choose|Remember When"
Day26,7dpKVB4mK3ufNdZOpMKtrd,218383,DAY26,79,79|79,2008-04-12|2009-04-25,Got Me Going|Imma Put It On Her
Guys Next Door,1VKd2lW4QELMrO4rZWEsOk,2823,Guys Next Door,42,42,1991-02-23,I've Been Waiting For You
Hanson,0SdiiPkr02EUdekHZJkt58,322502,Hanson,1,1|9|20,1997-05-24|1997-12-13|2000-05-06,MMMBop|I Will Come To You|This Time Around
Hi-Five,0EVUivUkugMtNF09L4QBMH,370330,Hi-Five,1,1|5|8|30|38|88|92,1991-05-18|1992-10-17|1991-08-31|1993-12-25|1993-01-23|1991-11-30|1993-07-24,"I Like The Way (The Kissing Game)|She's Playing Hard To Get|I Can't Wait Another Minute|Never Should've Let You Go (From ""Sister Act 2"")|Quality Time|Just Another Girlfriend|Unconditional Love (From ""Menace II Society"")"
Ideal,2bK1rpFhmGkImiZNuUyHVT,6086,Ideal,13,13|47,1999-11-20|2000-08-19,Get Gone|Whatever
Immature,4XDxFeclKBCFPb30yQlRUH,105106,Immature,5,5|16|32|36|37|46|69|95,1994-10-15|1995-02-04|1997-02-15|1996-05-25|1996-02-24|1995-10-14|1997-09-27|1995-05-20,"Never Lie|Constantly|Watch Me Do My Thing (From ""All That"")|Please Don't Go|We Got It|Feel The Funk (From ""Dangerous Minds"")|I'm Not A Fool|I Don't Mind"
Jagged Edge,7Aq8lpLMSt1Zxu56pe9bmp,1408948,Jagged Edge,3,3|6|9|11|15|23|58|65|73|85,2001-09-15|2003-12-20|2001-03-10|2000-07-29|2000-01-01|1998-08-15|2001-12-22|1997-10-18|2006-05-20|2004-05-01,Where The Party At|Walked Outta Heaven|Promise|Let's Get Married|He Can't Love U|Gotta Be|Goodbye|The Way That You Talk|Good Luck Charm|What's It Like
Jodeci,1eNkUXHPaXyuyC8NAgzykK,1318995,Jodeci,4,4|11|14|15|22|25|25|31|41|65|85,1993-08-28|1992-08-15|1995-07-22|1994-02-19|1996-06-01|1991-12-14|1994-04-16|1996-01-06|1992-02-29|1993-05-08|1992-11-07,"Lately|Come & Talk To Me|Freek'n You|Cry For You|Get On Up|Forever My Lady|Feenin'|Love U 4 Life|Stay|Let's Go Through The Motions (From ""Who's The Man?"")|I'm Still Waiting"
Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,4944477,Jonas Brothers,1,1|5|8|11|16|16|17|18|20|25|27|31|33|37|44|49|53|60|83|84|88,2019-03-16|2008-07-12|2008-08-16|2008-08-23|2008-08-02|2020-02-01|2007-09-01|2019-11-23|2008-07-05|2008-03-08|2019-04-20|2007-03-10|2020-05-30|2009-05-30|2020-01-04|2009-01-10|2007-09-01|2013-04-20|2009-07-04|2009-03-14|2008-08-30,Sucker|Burnin' Up|Tonight|A Little Bit Longer|Pushin' Me Away|What A Man Gotta Do|S.O.S.|Only Human|Play My Music|When You Look Me In The Eyes|Cool|Year 3000|X|Paranoid|Like It's Christmas|Lovebug|Hold On|Pom Poms|Fly With Me|Love Is On Its Way|BB Good
LFO,1FizW0swe8ODtXvEOHXbHX,29487,LFO,3,3|10|44|61|84,1999-08-28|1999-12-11|2001-09-22|2000-04-22|2000-08-12,Summer Girls|Girl On TV|Every Other Time|I Don't Wanna Kiss You Goodnight|West Side Story
Menudo,3Edq1eT7m7GX0PvHW7yEDF,227720,Menudo,62,62,1985-06-15,Hold Me
Mindless Behavior,2waKklOyXKNqhqIOmE4yBA,197646,Mindless Behavior,72,72,2011-11-05,Mrs. Right
Musical Youth,2CuzDPkRD6BJBvdWqCrt2I,21584,Musical Youth,10,10|65,1983-02-26|1984-02-11,Pass The Dutchie|She's Trouble
New Edition,1mFX1QlezK1lNPKQJkhwWb,1038282,New Edition,3,3|4|7|7|12|21|35|38|44|46|51|51|61|85|87|95,1996-08-31|1985-01-05|1988-09-17|1997-01-11|1985-02-23|1986-10-11|1985-05-11|1986-04-12|1989-03-11|1983-06-25|1985-12-14|1986-07-26|1997-07-12|1983-10-29|2004-11-13|1988-11-19,"Hit Me Off|Cool It Now|If It Isn't Love|I'm Still In Love With You|Mr. Telephone Man|Earth Angel (From ""The Karate Kid Part II"")|Lost In Love|A Little Bit Of Love (Is All It Takes)|Can You Stand The Rain|Candy Girl|Count Me Out|With You All The Way|One More Day|Is This The End|Hot 2Nite|You're Not My Kind Of Girl"
New Kids On The Block,55qiaow2sDYtjqu1mwRua6,508116,New Kids On The Block,1,1|1|1|2|3|7|7|8|10|36|53,1989-06-17|1989-09-09|1990-06-30|1989-11-04|1989-03-11|1990-01-06|1990-09-08|1989-11-18|1988-10-08|2008-07-19|1990-11-03,I'll Be Loving You (Forever)|Hangin' Tough|Step By Step|Cover Girl|You Got It (The Right Stuff)|This One's For The Children|Tonight|Didn't I (Blow Your Mind)|Please Don't Go Girl|Summertime|Let's Try It Again
Nine Days,306JHpIRGVaQd6OltnOzUO,69356,Nine Days,6,6|68,2000-07-22|2000-12-02,Absolutely (Story Of A Girl)|If I Am
No Mercy,2tUGlReCZRMoRgl0IS79i3,33228,No Mercy,5,5|21|41|80,1996-10-12|1997-03-15|1997-08-30|1997-11-22,Where Do You Go|Please Don't Go|When I Die|Kiss You All Over
Nu Flavor,2gdX1GbQ8sljsTVwDaIpkc,17145,Nu Flavor,27,27|62|83|89,1998-01-31|1997-07-12|1998-06-27|2000-06-17,Heaven|Sweet Sexy Thing|Baby Be There|3 Little Words
O-Town,4zKhX6hYCQPNs406umP9Fx,203409,O-Town,3,3|10|64,2001-07-28|2001-01-06|2002-12-07,All Or Nothing|Liquid Dreams|These Are The Days
One Direction,4AK6F7OLvEQ5QYCBNiQWHq,20067462,One Direction,2,2|3|3|4|6|10|11|12|13|13|31|33|39|46|54|65|68|74|77|83|87|87|87|88|94|96|98|99|100,2013-08-10|2012-10-20|2015-08-22|2012-04-21|2013-11-16|2015-11-07|2013-12-07|2013-12-07|2013-03-09|2014-10-18|2014-12-13|2013-01-12|2012-07-07|2013-03-09|2015-10-10|2015-11-28|2014-05-03|2015-11-14|2014-11-22|2015-12-05|2013-12-07|2014-11-29|2015-12-05|2014-11-29|2015-12-05|2015-12-05|2013-01-12|2014-12-06|2015-12-05,Best Song Ever|Live While We're Young|Drag Me Down|What Makes You Beautiful|Story Of My Life|Perfect|Diana|Midnight Memories|One Way Or Another (Teenage Kicks)|Steal My Girl|Night Changes|Little Things|One Thing|Kiss You|Infinity|History|You & I|Home|Ready To Run|If I Could Fly|Strong|18|Olivia|Where Do Broken Hearts Go|A.M.|Temporary Fix|Rock Me|Stockholm Syndrome|Never Enough
Perfect Gentlemen,0Kx6hOtUkMFFFQhz1zjIij,135,Perfect Gentlemen,10,10,1990-06-02,Ooh La La (I Can't Get Over You)
Playa,3bIAUCN08OjlkGrqRjJDji,29954,Playa,15,15|38|73,2007-12-22|1998-06-06|1997-12-27,Duffle Bag Boy|Cheers 2 U|Don't Stop The Music
Shai,72y3ZI95ctkQC2O4mjBaU3,512274,Shai,2,2|10|10|34|43|63|89,1992-11-21|1993-04-17|1993-09-18|1994-07-16|1995-11-25|1994-01-01|1996-05-11,"If I Ever Fall In Love|Comforter|Baby I'm Yours|The Place Where You Belong (From ""Beverly Hills Cop III"")|Come With Me|Yours|I Don't Wanna Be Alone"
Silk,3wVllS5itPK6rpHwfvNce4,800936,Silk,1,1|13|18|26|54|57|62|62|71|86|91,1993-05-01|1999-04-17|1999-03-13|1993-07-17|1995-11-18|1998-04-04|1999-09-11|2019-01-12|1994-12-03|1993-02-27|1996-05-04,"Freak Me|If You (Lovin' Me)|It Ain't My Fault 1 & 2|Girl U For Me/Lose Control|Hooked On You|Just Be Straight With Me|Meeting In My Bedroom|Electricity|I Can Go Deep (From ""A Low Down Dirty Shame"")|Happy Days|Don't Rush"
Son By Four,1qyAl8T6GTcaOViaI7fs1j,75791,Son By Four,26,26,2000-08-19,Purest Of Pain (A Puro Dolor)
Soul For Real,296LotOmbj7eOX7r9l46fK,396425,Soul For Real,2,2|17,1995-03-18|1995-08-05,Candy Rain|Every Little Thing I Do
Take That,1XgFuvRd7r5g0h844A5ZUQ,959678,Take That,7,7,1995-11-11,Back For Good
The Boys,4lOXDaGBU2mZM3PZU35ar0,55261,The Boys,13,13|29|61,1989-02-25|1990-10-13|1982-04-17,Dial My Heart|Crazy|Don't Stop Me Baby (I'm On Fire)
The Click Five,01lz5VBfkMFDteSA9pKJuP,177426,The Click Five,11,11,2005-09-03,Just The Girl
The Wanted,2NhdGz9EDv2FeUw6udu2g1,2191977,The Wanted,3,3|50|89|94,2012-03-31|2012-08-25|2012-12-08|2013-08-31,Glad You Came|Chasing The Sun|I Found You|We Own The Night
Troop,5r7mGejWrGSxheAYEIfSwI,294555,Troop,47,47|58|63|76,1990-08-18|1992-11-21|1992-06-27|2011-02-05,All I Do Is Think Of You|Sweet November|Whatever It Takes (To Make You Stay)|Do The John Wall
U.N.V.,7dsARy2GovWJAHqyFOwLOQ,3814,U.N.V.,29,29|65,1993-07-31|1995-07-08,Something's Goin' On|So In Love With You
Westlife,5Z1CCuBsyhEHngq3U5IraY,2051082,Westlife,20,20,2000-07-01,Swear It Again
Youngstown,0icdU2PQXnZ5Fo1EGkb6BU,16834,Youngstown,71,71,1999-08-21,I'll Be Your Everything
Destiny's Child,1Y8cdNmUJH7yBTd9yOvr5i,4629097,Destiny's Child,1,1|1|1|1|2|3|3|3|3|10|14|23|33,1999-07-17|2000-03-18|2000-11-18|2001-08-04|2001-04-14|1998-03-28|2000-08-19|2004-10-30|2005-02-12|2001-12-01|2005-08-13|2005-05-28|1999-11-13,"Bills, Bills, Bills|Say My Name|Independent Women Part I|Bootylicious|Survivor|No, No, No|Jumpin', Jumpin'|Lose My Breath|Soldier|Emotion|Cater 2 U|Girl|Bug A Boo"
Little Mix,3e7awlrlDSwF3iM0WBjGMp,8725084,Little Mix,67,67|69|79,2015-09-12|2016-11-12|2013-05-25,Black Magic|Shout Out To My Ex|Wings
TLC,0TImkz4nPqjegtVSMZnMRq,2500183,TLC,1,1|1|1|1|2|2|5|6|7|28|30|42|51|53|59,1995-01-28|1995-07-08|1999-04-10|1999-09-18|1992-08-15|1995-04-15|1995-12-30|1992-04-25|1992-11-21|2002-11-30|1993-03-20|1993-07-24|2000-03-04|2003-04-05|1999-02-06,"Creep|Waterfalls|No Scrubs|Unpretty|Baby-Baby-Baby|Red Light Special|Diggin' On You|Ain't 2 Proud 2 Beg|What About Your Friends|Girl Talk|Hat 2 Da Back|Get It Up (From ""Poetic Justice"")|Dear Lie|Damaged|Silly Ho"
Spice Girls,0uq5PttqEjj3IH1bzwcrXF,2134587,Spice Girls,1,1|3|4|9|11|16|18|90,1997-02-22|1997-05-31|1997-09-06|1998-02-21|1998-12-26|1998-07-04|1997-11-29|2007-11-24,Wannabe|Say You'll Be There|2 Become 1|Too Much|Goodbye|Stop|Spice Up Your Life|Headlines (Friendship Never Ends)
Fifth Harmony,1l8Fu6IkuTP0U5QetQJ5Xt,12169136,Fifth Harmony,4,4|12|24|40|42|43|73|76,2016-06-11|2015-08-08|2016-08-20|2015-01-10|2017-06-24|2014-07-26|2016-12-10|2013-09-07,Work From Home|Worth It|All In My Head (Flex)|Sledgehammer|Down|Bo$$|That's My Girl|Miss Movin' On
BLACKPINK,41MozSoPIsD1dJM0CLPjZF,19409977,BLACKPINK,13,13|33|41|55|59,2020-09-12|2020-07-11|2019-04-20|2018-06-30|2020-10-17,Ice Cream|How You Like That|Kill This Love|DDU-DU DDU-DU|Lovesick Girls
En Vogue,5fikk4h5qbEebqK2Fc6e48,864258,En Vogue,2,2|2|2|6|8|15|16|33|36|38|51|57|92,1990-07-21|1992-05-16|1997-01-18|1992-09-12|1992-10-31|1993-01-30|1997-07-26|1997-10-25|1993-05-22|1990-10-13|1993-10-16|1998-10-17|2000-06-17,"Hold On|My Lovin' (You're Never Gonna Get It)|Don't Let Go (Love)|Giving Him Something He Can Feel|Free Your Mind|Give It Up, Turn It Loose|Whatever|Too Gone, Too Long|Love Don't Love You|Lies|Runaway Love|No Fool No More|Riddle"
The Pussycat Dolls,6wPhSqRtPu1UhRCDX5yaDJ,4079432,The Pussycat Dolls,2,2|3|5|9|11|13|28|73|79|93,2005-08-20|2006-09-23|2005-12-31|2008-07-05|2009-01-31|2006-04-08|2007-01-13|2009-07-18|2009-02-21|2007-05-12,Don't Cha|Buttons|Stickwitu|When I Grow Up|I Hate This Part|Beep|Wait A Minute|Hush Hush|Top Of The World|I Don't Need A Man
The Bangles,51l0uqRxGaczYr4271pVIC,830987,The Bangles,1,1|1|2|2|5|11|29|30,1986-12-20|1989-04-01|1986-04-19|1988-02-06|1989-01-07|1987-04-18|1986-07-12|1989-06-24,Walk Like An Egyptian|Eternal Flame|Manic Monday|Hazy Shade Of Winter|In Your Room|Walking Down Your Street|If She Knew What She Wants|Be With You
SWV,2NmK5FyrQ18HOPXq1UBzqa,1235614,SWV,1,1|2|5|6|18|19|22|25|54|61|75|92,1993-07-10|1993-10-02|1996-06-08|1993-05-22|1994-05-21|1997-08-30|1996-09-21|1998-04-04|1994-02-19|1997-01-25|1997-08-02|1993-01-02,"Weak|Right Here (Human Nature)/Downtown|You're The One|I'm So Into You|Anything (From ""Above The Rim"")|Someone|Use Your Heart|Rain|Always On My Mind|It's All About U|Can We (From ""Booty Call"")|Right Here"
Dream,6LArUyIoMiHmDvvOAsE2cd,189722,Dream,2,2|39|44|64|75,2000-12-30|2001-06-09|2019-07-20|2019-07-20|2019-07-20,He Loves U Not|This Is Me|Under The Sun|Down Bad|Costa Rica
702,2S8UlyXW4JjjHcbeg8ddIo,491227,702,4,4|10|32|35,1999-06-19|1997-03-22|1996-12-14|1997-09-06,"Where My Girls At?|Get It Together|Steelo|All I Want (From ""GOOD Burger"")"
Jade,7ypgj95aGInvJMJbMv78wB,22136,Jade,4,4|16|20|22|69|72|96,1993-03-27|1992-10-03|1995-01-28|1993-07-24|1993-12-18|1994-10-15|2002-05-25,"Don't Walk Away|I Wanna Love You (From ""Class Act"")|Every Day Of The Week|One Woman|Looking For Mr. Do Right|5-4-3-2 (Yo! Time Is Up)|Sugarhigh"
Blaque,1nSRa2YjjFWJLHGKM07oGQ,325022,Blaque,5,5|8,2000-01-22|1999-06-12,Bring It All To Me|808
3LW,2lFHVcUeJ9Gq6AZiU3ZAOa,402590,3LW,23,23|58|81,2001-04-07|2002-09-28|2001-06-30,No More (Baby I'ma Do Right)|I Do (Wanna Get Close To You)|Playas Gon' Play
Wilson Phillips,1yMYjh77WgOVafRkI50mim,349955,Wilson Phillips,1,1|1|1|4|12|20|30,1990-06-09|1990-09-15|1991-04-20|1990-12-22|1991-08-03|1992-06-27|1992-09-19,Hold On|Release Me|You're In Love|Impulsive|The Dream Is Still Alive|You Won't See Me Cry|Give It Up
B*Witched,72eP0W3rIhkxd0NHGg4w4u,147713,B*Witched,9,9|67,1999-04-17|1999-06-19,C'est La Vie|Rollercoaster
Sweet Sensation,0DSE3n3008wiKzfd8vNhWy,48856,Sweet Sensation,1,1|13|14|23|57|58|59,1990-09-01|1990-05-19|1989-04-29|1989-08-12|1988-05-28|1988-10-29|1990-11-10,If Wishes Came True|Love Child|Sincerely Yours|Hooked On You|Take It While It's Hot|Never Let You Go|Each And Every Time
Klymaxx,2wh5Qu35PjDbJBqAv65RGa,178818,Klymaxx,5,5|15|18|59|80,1985-12-28|1986-09-13|1987-07-25|1985-06-15|1986-03-15,"I Miss You|Man Size Love (From ""Running Scared"")|I'd Still Say Yes|Meeting In The Ladies Room|The Men All Pause"
Brownstone,6dQgkiJm1fRkcqKOvPzysr,291392,Brownstone,8,8|39|49|54,1995-02-25|1997-06-21|1995-06-03|1995-08-19,If You Love Me|5 Miles To Empty|Grapevyne|I Can't Tell You Why
Bananarama,3sc7iUG1Wwpwx7bHeZolgx,485203,Bananarama,1,1|4|9|47|48|70|73|76|83|89|95,1986-09-06|1987-09-26|1984-09-29|1988-01-09|1988-04-23|1984-12-08|1986-11-08|1987-01-24|1983-07-16|1988-12-03|1984-05-26,"Venus|I Heard A Rumour (From ""Disorderlies"")|Cruel Summer|I Can't Help It|Love In The First Degree|The Wild Life|More Than Physical|A Trick Of The Night|Shy Boy (Don't It Make You Feel Good)|Love, Truth & Honesty|Robert de Niro's Waiting"
Exposé,5nPz5R1FDPTMI3Dw4JnTGb,172465,Exposé,1,1|5|5|7|8|8|9|10|17|28|55|84,1988-02-20|1987-04-04|1987-07-18|1987-10-31|1989-07-15|1993-07-17|1990-02-17|1989-10-21|1990-05-26|1992-12-05|1993-12-11|1994-04-30,Seasons Change|Come Go With Me|Point Of No Return|Let Me Be The One|What You Don't Know|I'll Never Get Over You (Getting Over Me)|Tell Me Why|When I Looked At Him|Your Baby Never Looked Good In Blue|I Wish The Phone Would Ring|As Long As I Can Dream|In Walked Love
Mary Jane Girls,7vRMMs8yrKf4PKUpUllMkr,174245,Mary Jane Girls,7,7|41|42,1985-06-08|1986-08-16|1985-08-17,"In My House|Walk Like A Man (From ""A Fine Mess"")|Wild And Crazy Love"
Xscape,5z2cHsOmmmWcAPNG1oEhw0,1028402,Xscape,2,2|7|8|8|9|32|46|50,1993-10-23|1998-05-30|1994-02-19|1995-11-18|1998-10-24|1995-07-22|1994-06-04|1996-03-16,Just Kickin' It|The Arms Of The One Who Loves You|Understanding|Who Can I Run To|My Little Secret|Feels So Good|Love On My Mind|Do You Want To/Can't Hang
All Saints,5TDVKqW9uhqGjwwwKGuma4,359070,All Saints,4,4|36,1998-08-22|1998-03-07,Never Ever|I Know Where It's At
The Sugababes,7rZNSLWMjTbwdLNskFbzFf,475556,Sugababes,96,96,2004-06-19,Hole In The Head
Wonder Girls,3Cv2vi3WTl8VZOTdrBkKdM,399975,Wonder Girls,76,76,2009-10-31,Nobody
Danity Kane,3FD9VAd0ppjmKbfxF4LzUh,452787,Danity Kane,8,8|10|64|78,2006-09-09|2008-05-24|2006-09-09|2006-09-09,Show Stopper|Damaged|Sleep On It|Ride For You
Total,1urjDGTd4iBze91Z1W1gu7,340057,Total,7,7|12|13|16|22|42|50|66,1999-01-09|1996-07-20|1995-06-10|1997-11-01|1996-02-24|1999-05-08|1996-11-30|1983-04-30,"Trippin'|Kissin' You|Can't You See (From ""New Jersey Drive"")|What About Us|No One Else|Sitting Home|When Boy Meets Girl|I Eat Cannibals"
Salt-n-Pepa,7wqtxqI3eo7Gn1P7SpP6cQ,514940,Salt-N-Pepa,3,3|4|13|19|21|26|32|38|47|50,1994-02-26|1993-12-04|1991-11-23|1988-02-20|1991-06-22|1990-05-19|1994-11-12|1995-11-04|1992-04-04|1998-05-02,Whatta Man|Shoop|Let's Talk About Sex|Push It|Do You Want Me|Expression|None Of Your Business|Ain't Nuthin' But A She Thing|You Showed Me|Gitty Up
Divine,6nsJ6vUJ9WqOlAzHiVv30v,2992,Divine,1,1|29,1998-11-28|1999-04-24,Lately|One More Try
The Cover Girls,6D01mATo26VaiiCfZzpWAm,69030,The Cover Girls,8,8|9|27|38|40|44|49|55|55|75|98,1990-03-03|1992-07-18|1988-02-27|1989-10-28|1988-05-21|1987-05-09|1990-05-05|1988-08-20|1991-03-09|1992-09-26|1987-08-01,We Can't Go Wrong|Wishing On A Star|Because Of You|My Heart Skips A Beat|Promise Me|Show Me|All That Glitters Isn't Gold|Inside Outside|Funk Boutique|Thank You|Spring Love
