name,id,followers,spotifyName,topRank,ranks,dates,titles
112,7urq0VfqxEYEEiZUkebXT4,783176,112,4,4|6|13|13|15|17|32|33|39|70|75,2001-07-07|2001-03-17|1996-09-21|1997-05-10|1999-05-08|1998-11-28|2005-06-18|1997-01-04|2001-11-03|2003-11-15|2003-08-30,Peaches & Cream|It's Over Now|Only You|Cupid|Anywhere|Love Me|U Already Know|Come See Me|Dance With Me|Hot & Wet|Na Na Na
*NSYNC,6Ff53KvcvAj5U7Z1vojB5o,1436241,*NSYNC,1,1|2|4|5|5|8|11|13|19|59|67,2000-07-29|1999-10-16|2000-04-15|2000-12-02|2002-04-06|1999-02-27|2001-11-24|1998-05-02|2001-06-16|1998-12-05|1999-05-08,It's Gonna Be Me|Music Of My Heart|Bye Bye Bye|This I Promise You|Girlfriend|(God Must Have Spent) A Little More Time On You|Gone|I Want You Back|Pop|Tearin' Up My Heart|I Drive Myself Crazy
2gether,1FyYqlTR8CuFH7eRGd0tpe,18601,2gether,87,87,2000-09-09,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff)
5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,7143202,5 Seconds of Summer,7,7|16|22|24|24|28|34|47|48|61|68|95|100,2018-10-20|2014-07-19|2015-08-08|2014-06-14|2014-08-02|2014-07-05|2014-06-14|2014-05-31|2019-06-08|2018-03-10|2016-08-06|2015-09-19|2015-09-05,Youngblood|Amnesia|She's Kinda Hot|She Looks So Perfect|Everything I Didn't Say|Kiss Me Kiss Me|Good Girls|Don't Stop|Easier|Want You Back|Girls Talk Boys|Jet Black Heart|Fly Away
5ive,1amQb9Uw9xQGWXyZjW42H1,18961,5ive,43,43|59|78,1994-07-23|2003-10-18|1999-10-23,Selling The Drama|Heaven|The Dolphin's Cry
98º,6V03b3Y36lolYP2orXn8mV,301876,98º,2,2|3|5|12|13|34|49,2000-09-30|1998-11-21|1999-07-03|1997-09-06|1999-09-25|2001-02-10|2000-01-08,Give Me Just One Night (Una Noche)|Because Of You|The Hardest Thing|Invisible Man|I Do (Cherish You)|My Everything|This Gift
All-4-One,1B8ySGDAiXTCvnJNH4HSCG,467517,All-4-One,1,1|5|5|30|57,1994-05-21|1994-03-12|1995-08-26|1996-08-03|1995-03-25,"I Swear|So Much In Love|I Can Love You Like That|Someday (From ""The Hunchback Of Notre Dame"")|(She's Got) Skillz"
Aventura,1qto4hHid1P71emI6Fd8xi,4380596,Aventura,95,95|97,2019-04-20|2005-12-17,Inmortal|Ella Y Yo
Az Yet,4UGMQyNcbGHYg5CDMKkSw3,181326,Az Yet,8,8|9,1997-05-03|1996-10-19,"Hard To Say I'm Sorry|Last Night (From ""The Nutty Professor"")"
B2K,51d3rUlLuMh7EW09aMe7yj,531524,B2K,1,1|30|34|37|59|73,2003-02-01|2003-04-26|2002-06-29|2002-05-18|2004-01-10|2002-11-02,"Bump, Bump, Bump|Girlfriend|Gots Ta Be|Uh Huh|Badaboom|Why I Love You"
