band,name,id,followers,spotifyName,topRank,ranks,dates,titles,imageUrl
Color Me Badd,Kevin Thornton,0afoafwpZ4h6QhGVnT6OH0,12,Kevin Thornton,,,,,ab67616d00001e023488aacc12b9d68a9dc4cc7b
Color Me Badd,Mark Calderon,07I6zBaXJwBKtJP0GJd5G6,35,Mark Calderon,,,,,ab67616d00001e022584f02037be8ea2613e0380
Color Me Badd,Sam Watters,,3,,,,,,
Day26,"""Big Mike"" McCluney",0nrUyKsdgzlKT6KpTcPhjA,50876,Big Mike,,,,,ab67616d00001e02e65fca39f45b07aeb243fa68
Day26,"Brian ""Angel"" Andrews",6tkOCs9yjWHPhjUgdWYkZW,635,Brian Angel,,,,,a512cf67b0e4dfd208a72043563e70cbab5d40ae
Day26,"Qwanell ""Que"" Mosley",,,,,,,,
Day26,Robert Curry,4KyjJKsmICqKQF8hdCAi1a,239,Robert Curry,,,,,ab67616d00001e02456293e3d7ba1dfc8b716796
Day26,Willie Taylor,5sWYvQsyCCAkkrwLcIT6NS,23531,Willie Taylor,,,,,1d122257642ad266b7ac4bb2b02756c8cab2e3e0
Guys Next Door,Bobby Leslie,,5,,,,,,
Guys Next Door,Chris Wolf,,49,,,,,,
Guys Next Door,Damon Sharpe,3Woqe3KegExVyrEK1I6ITJ,1062,Damon Sharpe,,,,,e54a7bda5b3bc2cc8f19704fe92a132eb120f330
Guys Next Door,Eddie Garcia,,30,,,,,,
Guys Next Door,Patrick J. Dancy,,,,,,,,
Hanson,Isaac Hanson,,16,,,,,,
Hanson,Taylor Hanson,,,,,,,,
Hanson,Zac Hanson,,,,,,,,
Hi-Five,Marcus Sanders,,606,,,,,,
Hi-Five,"Roderick ""Pooh"" Clark",,,,,,,,
Hi-Five,Russell Neal,,0,,,,,,
Hi-Five,Tony Thompson,4dC1SJh5elSp45qeyfgInn,2753,Tony Thompson,59,59,1995-07-22,I Wanna Love Like That,fd9dd6b6396d645a3bb1c41ed8e464b5562390d9
Hi-Five,Treston Irby,,10,,,,,,
Ideal,J-Dante,,94,,,,,,
Ideal,Maverick,,1724,,,,,,
Ideal,PZ,,7,,,,,,
Ideal,Swab,,192,,,,,,
Immature,"Jerome ""Romeo"" Jones",1vus7FPSN3bKTHtIsTjUXh,610,Young Rome,,,,,e38466bf6342748c1fe0aff4356ad84cc7dc3766
Immature,"Kelton ""LDB"" Kessee",,,,,,,,
Immature,"Marques ""Batman"" Houston",1goOx6gnQdUllLfSMsL4Rt,597376,Marques Houston,39,39|47|63|69|76|78,2003-11-01|2005-10-01|2003-03-15|2005-06-11|2004-01-03|2007-03-17,Clubbin|Naked|That Girl|All Because Of You|Pop That Booty|Circle,c9945bf1c16d33cc8604e5387f76d1aeb7e0d642
Jagged Edge,Brandon Casey,,133,,,,,,
Jagged Edge,Brian Casey,,2010,,,,,,
Jagged Edge,Kyle Norman,,0,,,,,,
Jagged Edge,Richard Wingo,,0,,,,,,
Jodeci,"""Mr. Dalvin"" DeGrate",74HWKzpZhzhYFFSbASDgx6,266,Mr. Dalvin,,,,,8a3f77b1d08e955ef91f5b3002e1438f02cc623a
Jodeci,DeVante Swing,,135,,,,,,
Jodeci,"Joel ""JoJo"" Hailey",07IN4tO2u845nv3vGkIIIM,339,Jojo Hailey,,,,,92ffb161eb413e3ff3bcd8e86225bf8b989b8fcd
Jodeci,"Kedric ""K-Ci"" Hailey",4cynDosMoBQcVD9UKLq8eX,2223,K-Ci,17,17,1995-03-04,If You Think You're Lonely Now,ab67616d00001e020a52a1f78bcfa93ba7694868
Jonas Brothers,Joe Jonas,7gbmX8SsfjEjxDMzBi1ZOL,1258396,Joe Jonas,30,30|92,2008-07-05|2011-07-02,Gotta Find You|See No More,f314ff68c7a5d440e95002a54602136c4a68f64c
Jonas Brothers,Kevin Jonas,11bdWrCwHE2gCdVARdASuu,12603,,,,,,
Jonas Brothers,Nick Jonas,4Rxn7Im3LGfyRkY2FlHhWi,7060644,Nick Jonas,7,7|13|14|44|54|73|92,2015-01-24|2015-04-18|2016-07-02|2015-10-24|2017-03-04|2009-12-19|2010-09-25,Jealous|Chains|Close|Levels|Bom Bidi Bom|Who I Am|Introducing Me,6321142252f8a00a1de5db4ab89541d710300bd7
LFO,Brad Fischetti,,57,,,,,,
LFO,Devin Lima,,17,,,,,,
LFO,Richard Burton Cronin,,,,,,,,
Menudo,Charlie Masso,7aGPqyuqFhcAaPEreb0LDW,839,Charlie Masso,,,,,ab67616d00001e02d130cc0fd02cb5e480c6952d
Menudo,Miguel Cancel,0ZEyCAIp4oAa2DzCoIMaen,352,Miguel Cancel,,,,,ab67616d00001e0217d7f067c31c9c0e7d9d7d50
Menudo,Raymond Acevedo,67fK5PJaRTtqjgNuG2yDQb,116,Ray Acevedo,,,,,e1d7adddd3fe50822bfce5db8ce575ebc8a7bb31
Menudo,Ricky Martin,7slfeZO9LsJbWgpkIoXBUJ,5749870,Ricky Martin,1,1|2|12|13|22|45|65|67|74|74|88|89|97,1999-05-08|1999-09-25|2000-12-02|2001-02-24|2000-02-12|1999-08-07|2005-10-29|2000-03-18|2003-05-31|2010-11-20|1996-10-05|2006-12-23|2001-06-16,"Livin' La Vida Loca|She's All I Ever Had|She Bangs|Nobody Wants To Be Lonely|Shake Your Bon-Bon|The Cup Of Life (The Official Song Of The World Cup, France '98)|I Don't Care|Private Emotion|Tal Vez|Lo Mejor De Mi Vida Eres Tu|Maria|Tu Recuerdo|Loaded",28b6705f46721e5f200ac48ba0e2a378fcaae335
Menudo,"Robi ""Draco"" Rosa",4Vo7jk7sjpIFMk14dedex5,103176,Draco Rosa,,,,,ecdd6790a6a1daddc63694c70725afbd81e32cfb
Menudo,Roy Rosello,,,,,,,,
Mindless Behavior,Craig Crippen,,,,,,,,
Mindless Behavior,Jacob Perez,,11,,,,,,
Mindless Behavior,Rayan Lopez,,10,,,,,,
Mindless Behavior,Santo August,6fPC8rgHEdzeSKIzaGyt9A,4686,Santo August,,,,,ab67616d00001e023a4a9043ea7ec26dd0c3a941
Musical Youth,Dennis Seaton,3Snp4nTBcbiFuueb2xQTu3,6,Dennis Seaton,,,,,ab67616d00001e0282d0535990ff65d71c780002
Musical Youth,"Frederick ""Junior"" Waite",,,,,,,,
Musical Youth,Kelvin Grant,2apaIagRpZfyNdAlQOua20,29,Kelvin Grant,,,,,ab67616d00001e0241b6367b532f1aa30e33cf34
Musical Youth,Michael Grant,,1,,,,,,
Musical Youth,Patrick Waite,,291,,,,,,
New Edition,Bobby Brown,62sPt3fswraiEPnKQpAbdE,725033,Bobby Brown,1,1|2|3|3|3|7|7|8|14|57|57,1989-01-14|1989-08-05|1989-03-18|1989-06-10|1992-09-12|1989-11-04|1992-12-26|1988-10-15|1993-02-20|1987-01-24|1993-05-15,"My Prerogative|On Our Own (From ""Ghostbusters II"")|Roni|Every Little Step|Humpin' Around|Rock Wit'cha|Good Enough|Don't Be Cruel|Get Away|Girlfriend|That's The Way Love Is",b1883b6a4dbde64bca76e79995333e45a5dea8fe
New Edition,Johnny Gill,7oHzn7edwmrYClrPRINkbn,635884,Johnny Gill,3,3|10|28|43|53|56|84,1990-08-04|1990-09-29|1990-12-15|1997-02-15|1996-10-05|1993-06-19|1991-03-30,"Rub You The Right Way|My, My, My|Fairweather Friend|It's Your Body|Let's Get The Mood Right|The Floor|Wrap My Body Tight",cbdd38b6cd11c7696e96a443f978a611e4462070
New Edition,Michael Bivins,,138,,,,,,
New Edition,Ralph Tresvant,6MLDcHrNh4OqxDZAjMt5pt,249679,Ralph Tresvant,4,4|34|54,1991-01-26|1991-04-13|1992-08-15,"Sensitivity|Stone Cold Gentleman|Money Can't Buy You Love (From ""Mo' Money"")",af50fee1c505a377325f43a464d28cc118738f5b
New Edition,Ricky Bell,6GFHovQ3p5XrObOaBcySm0,59,Ricky Bell,,,,,ab67616d00001e0216a7a55780aa5afac578f3c7
New Edition,Ronnie DeVoe,,119,,,,,,
New Kids On The Block,Danny Wood,6xPDkJZpIhEzBmAa1WOAYw,4727,Danny Wood,,,,,0598c77e40a9665f49007d80ea6ae38cec5a7389
New Kids On The Block,Donnie Wahlberg,,3610,,,,,,
New Kids On The Block,Joey McIntyre,3SIW6eVIZSz9V05WsaKIr3,49142,Joey McIntyre,10,10|54,1999-04-10|1999-09-11,Stay The Same|I Love You Came Too Late,7e36988576374483fb695fb299b1222921cb7e4e
New Kids On The Block,Jonathan Knight,,66,,,,,,
New Kids On The Block,Jordan Knight,2AEcSFddxmvXT0A7rBwyVL,66414,Jordan Knight,10,10,1999-05-15,Give It To You,f4e3f7b448b434089dcc526305a14806e4de052a
Nine Days,Brian Desveaux,5a1T20y1Qh8irL5zRP2prX,32,Brian Desveaux,,,,,ab67616d00001e02100319a18da628ab7504fed2
Nine Days,Jeremy Dean,,8,,,,,,
Nine Days,John Hampson,,3,,,,,,
Nine Days,Nick Dimichino,,,,,,,,
Nine Days,Vincent Tattanelli,,,,,,,,
No Mercy,Ariel Hernández,,586,,,,,,
No Mercy,Gabriel Hernández,,239,,,,,,
No Mercy,Marty Cintron III,,,,,,,,
Nu Flavor,Anthony DaCosta,,2110,,,,,,
Nu Flavor,Frank Pangelinan,,13,,,,,,
Nu Flavor,Jacob Ceniceros,,,,,,,,
Nu Flavor,Rico Luna,5IJ7GAIw3QEW5YowUgceCz,584,Rigo Luna,,,,,ab67616d00001e02aa907a0df55a7c13ef5aafae
O-Town,Ashley Parker Angel,,2368,,,,,,
O-Town,Dan Miller,,2,,,,,,
O-Town,Erik-Michael Estrada,,,,,,,,
O-Town,Jacob Underwood,,16,,,,,,
O-Town,Trevor Penick,,64,,,,,,
One Direction,Harry Styles,6KImCVD70vtIoJWnq6nGn3,12813873,Harry Styles,1,1|4|6|17|62|74|84|93|99,2020-08-15|2017-04-29|2020-04-11|2019-10-26|2019-12-28|2020-11-07|2019-12-28|2017-05-20|2019-12-28,Watermelon Sugar|Sign Of The Times|Adore You|Lights Up|Falling|Golden|Cherry|Sweet Creature|She,44329fa8c646f4eb2bcf7af62afe195bfb2c4830
One Direction,Liam Payne,5pUo3fmmHT8bhCyHE52hA6,7219773,Liam Payne,10,10|76|98,2017-09-16|2018-02-24|2017-11-11,Strip That Down|For You (Fifty Shades Freed)|Bedroom Floor,1d99b8c429f9f6bddf4f45d1f2779f13805f96b8
One Direction,Louis Tomlinson,57WHJIHrjOE3iAxpihhMnp,4593298,Louis Tomlinson,40,40,2017-08-12,Back To You,91014738e54ecb8dbb0b5a0853ba8148032067f2
One Direction,Niall Horan,1Hsdzj7Dlq2I7tHP7501T4,6794122,Niall Horan,11,11|20|63|66|97,2017-09-30|2017-01-14|2019-11-23|2017-10-07|2020-02-22,Slow Hands|This Town|Nice To Meet Ya|Too Much To Ask|No Judgement,42179cf495e77e1c76eca3190bc536fdc0e57947
One Direction,Zayn Malik,5ZsFI1h6hIdQRw2ti0hz81,14594009,ZAYN,1,1|2|44|55|59|66|73|89,2016-02-20|2017-03-04|2017-09-30|2016-04-02|2016-03-19|2017-04-15|2018-04-28|2020-10-10,Pillowtalk|I Don't Wanna Live Forever (Fifty Shades Darker)|Dusk Till Dawn|Like I Would|It's You|Still Got Time|Let Me|Better,cd1e0a7b3bc0af4a654587fdd32ad639aa4bca24
Perfect Gentlemen,Corey Blakely,,,,,,,,
Perfect Gentlemen,Maurice Starr Jr.,,,,,,,,
Perfect Gentlemen,Tyrone Sutton,,,,,,,,
Playa,"""Static Major"" Ellis Garrett",3pbi8H08p95NUZ7m6ybxUV,3935,Static Major,,,,,0c1155ff791203102d5db96563a60a9a72ce2f06
Playa,"Benjamin ""Black"" Bush",,,,,,,,
Playa,"Jawaan ""Smoke"" Peacock",1dY7iV5d2o0ntxFghVqYiW,1099,Smoke E. Digglera,,,,,45007539c314414148df75958d1a49b31081e1ae
Shai,Carl Martin,,300,,,,,,
Shai,Darnell Van Rensalier,,,,,,,,
Shai,Garfield Bright,15Xl9PmvjPkN5pnPyU13lB,86,Garfield Bright,,,,,ab67616d00001e02cae5e0f02365c75553ce1412
Shai,Marc Gay,,14,,,,,,
Silk,"Gary ""Big G"" Glenn",,,,,,,,
Silk,"Gary ""Lil G"" Jenkins",1QT4bGVQ2hFrxcav2E6Tju,619,Gary 'G' Jenkins,,,,,ab67616d00001e028b27194f5ab55308c0d20d53
Silk,"James ""Jimmy"" Gates, Jr.",,,,,,,,
Silk,Johnathen Rasboro,,,,,,,,
Silk,Timothy Cameron,,,,,,,,
Son By Four,Angel Lopez,0w57qOEVTcqs0bLyFJ7Q52,4130,Angel Lopez,,,,,ab67616d00001e02d72b6942311d99adf6106eb1
Son By Four,George Montes,,0,,,,,,
Son By Four,Javier Montes,,1,,,,,,
Son By Four,Pedro Quiles,,,,,,,,
Soul For Real,"""Jase4Real"" Oliver Dalyrimple",6veP9FCiOoBNG4nWWsuLaA,123,Jase4Real,,,,,31b98504c4388f663b7efdfd3022d16b162aa9d3
Soul For Real,Andre Dalyrimple,,,,,,,,
Soul For Real,Brian Dalyrimple,,,,,,,,
Soul For Real,Christopher Dalyrimple,,,,,,,,
Take That,Gary Barlow,3ZcbVcd3fsf9qKK02UVzGB,250170,Gary Barlow,44,44,1997-11-29,So Help Me Girl,f1e4459af7132a6071acb5122cda12f15c5e5245
Take That,Howard Donald,2CrYSpwZF7UAfRMQ1DojYp,658,Howard Donald,,,,,d69de7039080ec1be3b756832b3bce62a5777223
Take That,Jason Orange,,107,,,,,,
Take That,Mark Owen,1NCH3NhzIufLfHz32GLAzM,22072,Mark Owen,,,,,9f6c97855ccf078750b7a512fec9f2606b5227d7
Take That,Robbie Williams,2HcwFjNelS49kFbfvMxQYw,2123143,Robbie Williams,53,53|72,2000-01-22|1999-06-19,Angels|Millennium,b012d6ae89b2911dc780fef766f1e23fb15c95ef
The Boys,Bilal Abdulsamad,,,,,,,,
The Boys,Hakeem Abdulsamad,,,,,,,,
The Boys,Khiry Abdulsamad,,,,,,,,
The Boys,Tajh Abdulsamad,,8,,,,,,
The Click Five,Ben Romans,,7,,,,,,
The Click Five,Eric Dill,7oU0phQvomoDgYp0YJnzm5,746,Eric Dill,,,,,ab67616d00001e026a25ccd3d6d4af316db0b3cb
The Click Five,Ethan Mentzer,,1,,,,,,
The Click Five,Joe Guese,,2,,,,,,
The Click Five,Joey Zehr,,,,,,,,
The Wanted,Jay McGuiness,4YXpj5aPWs0v7hkrgkwxxp,245,,,,,,
The Wanted,Max George,1RDRqPYnN9dTo41jhKth2F,12625,Max George,,,,,1a72e5bc04a1c455516c1b5ec12508b15c23a7a0
The Wanted,Nathan Sykes,2Rf4X6m0oayCJhaJ5K63GQ,472699,Nathan Sykes,,,,,fc64e09d0999ec019b4a98f55b04a571f12aa50e
The Wanted,Siva Michael Kaneswaran,,,,,,,,
The Wanted,Tom Parker,,15,,,,,,
Troop,Allen McNeil,1aUhlKuHn1H8gkQrdCqBSy,81,Allen McNeil,,,,,ab67616d00001e02974fb0c700ac0974b413d9c1
Troop,John Harreld,,,,,,,,
Troop,Reggie Warren,,127,,,,,,
Troop,Rodney Benford,,,,,,,,
Troop,Steve Russell,3vaIpIxoAmQpnsH2LTgjHq,231,Steve Russell,,,,,ab67616d00001e02f147f7e1df84e551faf573b2
U.N.V.,Demetrius Peete,,,,,,,,
U.N.V.,"John ""JC"" Clay",,,,,,,,
U.N.V.,John Poe,,7,,,,,,
U.N.V.,Shawn Poe,,26,,,,,,
Westlife,Brian McFadden,5ny07v4RRsvdv1uQVplMry,70095,Brian McFadden,,,,,47ce0628b83776f24fb543a23c84a9dd114a6923
Westlife,Kian Egan,,1,,,,,,
Westlife,Mark Feehily,07K9xbSzS0XLEQEdtc4X9A,11185,Markus Feehily,,,,,233cef9e501858428a0c6d939806be0675b926c4
Westlife,Nicky Byrne,2xNxybZZaSP1YQOKaOH6gA,8532,Nicky Byrne,,,,,ab67616d00001e023ea55e808b519bf6073da8bc
Westlife,Shane Filan,3Q2ya2vGeOhQ9CaF9wWNP6,105198,Shane Filan,,,,,ced1ab38472d66dade5ccf18c5f50be82f5d1c04
Youngstown,"David ""DC"" Yeager",,,,,,,,
Youngstown,"James Lee ""Dallas""",,,,,,,,
Youngstown,"Samuel ""Sammy"" Lopez Jr",,,,,,,,
Destiny's Child,Beyoncé Knowles,6vWDO969PvNqNYHIOW5v0m,26199288,Beyoncé,1,1|1|1|1|1|2|3|3|3|4|4|5|10|10|11|11|13|13|16|18|19|20|23|28|29|35|37|37|38|39|41|41|43|45|46|47|50|57|57|59|61|63|65|65|67|71|76|78|82|90|98,2003-07-12|2003-10-04|2006-02-04|2006-12-16|2008-12-13|2014-02-15|2004-06-05|2007-04-07|2008-11-08|2004-02-21|2006-08-12|2009-05-23|2009-11-07|2016-05-14|2006-09-30|2016-05-14|2014-12-20|2016-05-14|2011-08-13|2016-05-14|2009-03-07|2011-09-17|2014-03-15|2016-05-14|2011-06-11|2016-05-14|2016-05-14|2020-07-04|2016-05-14|2009-08-15|2014-12-13|2016-05-14|2016-05-14|2014-02-01|2013-11-23|2016-05-14|2011-12-17|2004-10-02|2011-06-11|2006-12-23|2007-02-03|2016-05-14|2009-12-12|2019-05-11|2009-02-07|2011-11-19|2019-08-03|2012-10-13|2014-01-11|2019-08-03|2019-07-27,"Crazy In Love|Baby Boy|Check On It|Irreplaceable|Single Ladies (Put A Ring On It)|Drunk In Love|Naughty Girl|Beautiful Liar|If I Were A Boy|Me, Myself And I|Deja Vu|Halo|Sweet Dreams|Formation|Ring The Alarm|Sorry|7/11|Hold Up|Best Thing I Never Had|6 Inch|Diva|Love On Top|Partition|Don't Hurt Yourself|Run The World (Girls)|Freedom|Pray You Catch Me|Black Parade|All Night|Ego|***Flawless|Daddy Lessons|Sandcastles|XO|Get Me Bodied|Love Drought|Party|Dangerously In Love|1+1|Upgrade U|Listen|Forward|Video Phone|Before I Let Go|At Last|Countdown|Brown Skin Girl|Dance For You|Mine|Mood 4 Eva|Spirit",802895be7bc5339087ba36194b0b7307c467df96
Destiny's Child,Kelly Rowland,3AuMNF8rQAKOzjYppFNAoB,2558869,Kelly Rowland,17,17|27|30|72|88|97,2011-08-06|2002-11-30|2007-07-21|2013-04-06|2012-12-15|2003-03-15,Motivation|Stole|Like This|Kisses Down Low|Ice|Can't Nobody,3c19bcd0d4c50dd06df6dcae36f19fd74f71a193
Destiny's Child,Michelle Williams,6t7nbFAc2dUa7oNu7kBOui,171190,Michelle Williams,,,,,31b531657aaccb3fb3c6caf5a702a850fd2289f8
Destiny's Child,LaTavia Roberson,,,,,,,,
Destiny's Child,LeToya Luckett,1EyK0glCKdNVaKjVxFOHCD,340390,LeToya Luckett,,,,,febb6a85ebb540c313c606f55df329a08c5ee289
Destiny's Child,Farrah Franklin,0ifVSIaPuD5IBeeNn7fgS4,249,Farrah Franklin,,,,,ab67616d00001e0234f957393ad7903726bc6d0f
Little Mix,Jade Thirlwall,,,,,,,,
Little Mix,Leigh-Anne Pinnock,,,,,,,,
Little Mix,Perrie Edwards,,,,,,,,
Little Mix,Jesy Nelson,,,,,,,,
TLC,"Tionne ""T-Boz"" Watkins",0UNB28n9hyPBlWMSuy5Wve,352,T-Boz,40,40,1996-08-31,"Touch Myself (From ""Fled"")",ab67616d00001e02ec1131a08ae24df7d04a75b7
TLC,"Lisa ""Left Eye"" Lopes",64ccradw8gAQn9gMQZmEha,14941,"Lisa ""Left Eye"" Lopes",,,,,ab67616d00001e0202b307de1cdd13be7bb615b8
TLC,Crystal Jones,,,,,,,,
