band,name,id,followers,spotifyName,topRank,ranks,dates,titles,imageUrl
112,Daron Jones,24G8Xsvd4Xv2KXJqqG9ntG,1275,Daron Jones,,,,,81bdae6a8925d9406e0c95e1051ff4c27a113048
112,"Marvin ""Slim"" Scandrick",33nrND6ODgesoa1Qmr5DbD,2138,Slim,,,,,ab67616d00001e02f2efb644f1f27a1d28612756
112,Mike Marcel Keith,,,,,,,,
112,"Quinnes ""Q"" Parker",0uqnxM3Rns1qIVpZheidd4,3508,Q Parker,,,,,ae930d9dd3d106c4c03f74abf493f90360c4980d
*NSYNC,Chris Kirkpatrick,,184,,,,,,
*NSYNC,JC Chasez,3p3U04w2DaiBzuYMZnYr00,30773,JC Chasez,35,35|88,2003-03-01|2004-02-14,Blowin' Me Up (With Her Love)|Some Girls (Dance With Women),56d334c814b5633b4cf6d1effb2ad11d75ae86d7
*NSYNC,Joey Fatone,35rTRBGVuwYmhLMdamT2KY,1129,Joey Fatone,,,,,ab67616d00001e027213747c2ede9c255a475654
*NSYNC,Justin Timberlake,31TPClRtHm23RisEBtV3X7,10335436,Justin Timberlake,1,1|1|1|1|2|3|3|5|6|8|9|9|11|13|17|17|27|29|36|64|71|73,2006-09-09|2006-11-11|2007-03-03|2016-05-28|2013-06-15|2003-02-01|2013-04-06|2003-05-10|2007-06-09|2014-05-03|2018-01-20|2018-02-10|2002-10-12|2010-02-13|2007-10-06|2007-12-15|2003-09-27|2013-09-14|2013-12-14|2013-04-06|2018-02-03|2018-02-17,SexyBack|My Love|What Goes Around...Comes Around|Can't Stop The Feeling!|Mirrors|Cry Me A River|Suit & Tie|Rock Your Body|Summer Love|Not A Bad Thing|Filthy|Say Something|Like I Love You|Hallelujah|LoveStoned|Until The End Of Time|Senorita|Take Back The Night|TKO|Pusher Love Girl|Supplies|Man Of The Woods,f53e7e93947e91e5c257bdb2ca1b7c2b7e755a42
*NSYNC,Lance Bass,,262,,,,,,
2gether,Alex Solowitz,,,,,,,,
2gether,Evan Farmer,,159,,,,,,
2gether,Kevin Farley,,8,,,,,,
2gether,Michael Cuccione,,,,,,,,
2gether,Noah Bastian,,,,,,,,
5 Seconds of Summer,Ashton Irwin,3zOKGDS77tYdGFQ6UJMC4E,129518,Ashton Irwin,,,,,d917d897a2176d21fe3f9dd40549eee05fd8f2c6
5 Seconds of Summer,Calum Hood,,3416,,,,,,
5 Seconds of Summer,Luke Hemmings,,,,,,,,
5 Seconds of Summer,Michael Clifford,,2131,,,,,,
5ive,"""Abz Love"" Abidin Breen",2Myz4GrTzJAMbXmIVvzjGe,223,Abz Love,,,,,ab67616d00001e02d83b58106c17a67faec60b3f
5ive,"""Ritchie"" Neville Dobson",,,,,,,,
5ive,"Jason Paul ""J"" Brown",,,,,,,,
5ive,Scott Robinson,,378,,,,,,
5ive,Sean Conlon,,27,,,,,,
98º,Drew Lachey,,52,,,,,,
98º,Jeff Timmons,6yn0dhVQEIvGXL2biKBvr5,111,Jeff Timmons,,,,,24866457f1f23943f80af8c1f0c0bb9651356f50
98º,Justin Jeffre,,,,,,,,
98º,Nick Lachey,6ewMqjrF31lC8ywRsvm073,141828,Nick Lachey,6,6|87,2006-05-13|2006-09-23,What's Left Of Me|I Can't Hate You Anymore,e1362bb3402517b8e79584cebdce664f7bd1d83b
All-4-One,Alfred Nevarez,,,,,,,,
All-4-One,Delious Kennedy,,,,,,,,
All-4-One,Jamie Jones,,173491,,,,,,
All-4-One,Tony Borowiak,,,,,,,,
Aventura,"Anthony ""Romeo"" Santos",5lwmRuXgjX8xIwlnauTZIP,12258997,Romeo Santos,45,45|77|79|83|91|95|97,2014-02-15|2017-03-04|2013-09-28|2011-11-26|2017-08-12|2017-12-23|2011-06-25,Odio|Heroe Favorito|Propuesta Indecente|Promise|Imitadora|Bella y Sensual|You,2b956fd6d46ab322d8d4e9b4b7dc84a0dae9c1cf
Aventura,Henry Santos,1cUfMJtWJXfhTQvYGJQtaF,39991,Henry Santos,,,,,1cb5d9ca00a4aee88e1fd30da4a97371a4febe59
Aventura,Lenny Santos,,653,,,,,,
Aventura,Max Santos,,25,,,,,,
Az Yet,Darryl Anthony,,6,,,,,,
Az Yet,Dion Allen,,50,,,,,,
Az Yet,Kenny Terry,,13,,,,,,
Az Yet,Marc Nelson,44In3Okeqcs641DLs1YuuD,1612,Marc Nelson,27,27,1999-12-18,15 Minutes,ab67616d00001e02dc1e6e14c0b318a50d427471
Az Yet,Shawn Rivera,,4,,,,,,
B2K,"""Omarion"" Ishmael Grandberry",0f5nVCcR06GX8Qikz0COtT,1958145,Omarion,12,12|13|27|78|83|94,2007-03-10|2015-05-09|2005-03-19|2006-09-02|2009-12-19|2005-07-30,Ice Box|Post To Be|O|Entourage|I Get It In|Touch,6dfe920c0b6c780b071ad538f6707dc094315d7f
B2K,J-Boog,,221750,,,,,,
B2K,Lil' Fizz,,2109,,,,,,
B2K,Raz-B,,2,,,,,,
Backstreet Boys,"""AJ"" McLean",5RFf1gyPc9lMOtCq2k6tLl,27963,AJ McLean,,,,,3374377277f114a1fbdcce9a1510ff546bbc6603
Backstreet Boys,Brian Littrell,50eWbXhi4dqiodRsW73spI,27559,Brian Littrell,,,,,ab67616d00001e029620c87e4ff122a3b1d6e842
Backstreet Boys,Howie Dorough,4jk8oGz7E7Jc33Bx1PpLCd,19343,Howie D,,,,,63bafc6ba6efba9beae41a5f25329f6d39b9a53c
Backstreet Boys,Kevin Richardson,,623,,,,,,
Backstreet Boys,Nick Carter,6eIPFXnKPqSQVxgsU4hELI,144180,Nick Carter,,,,,3a089ff05d9815bb09d6ad59f0ab8c84b96486f2
BBMak,Christian Burns,1hu8RDN5gKsi2YYvWTOAqY,7735,Christian Burns,,,,,b6eb17b6f477f216e20d7d20c00fe6a39b75b471
BBMak,Mark Barry,,1,,,,,,
BBMak,"Stephen ""Ste"" McNally",,0,,,,,,
Big Time Rush,Carlos PenaVega,55I8hJGKx6qhra9J4Du9DP,12036,Carlos Pena Vega,,,,,ab67616d00001e02cb7043363099184ad7efd077
Big Time Rush,James Maslow,2xFOQxks1T2GshUujxbJT8,61695,James Maslow,,,,,adca377bd193dc707fb06912dc8157063b610cf0
Big Time Rush,Kendall Schmidt,6wJwDO5lR0bhd9E9upRJOK,23621,Kendall Schmidt,,,,,1d5c3c49ead26b2b313366a4b75755e0849bfeb6
Big Time Rush,Logan Henderson,3GVijnoyMOcdVudcDvMrz5,64897,Logan Henderson,,,,,b2840b070e4de18488d6aad9ecdeb002e63a86d5
Blackstreet,"""Black"" Hannibal",,4,,,,,,
Blackstreet,Eric Williams,,86,,,,,,
Blackstreet,Mark Middleton,,76,,,,,,
Blackstreet,Teddy Riley,5VDmBevaLkMLnK0rLOjijw,11325,Teddy Riley,62,62,1989-10-07,"My Fantasy (From ""Do The Right Thing"")",4963a8ff69d5f29d6cbb9475de7213fb87c185bf
Boyz II Men,Michael McCary,,98,,,,,,
Boyz II Men,Nathan Morris,,106,,,,,,
Boyz II Men,Shawn Stockman,19dyJWLCu4CSuTgZN1l9Zn,4172,Shawn Stockman,45,45,1996-02-24,"Visions Of A Sunset (From ""Mr. Holland's Opus"")",9f13bfe226b38300321616e3bc56912db541a02e
Boyz II Men,Wanya Morris,,1062,,,,,,
Brother Beyond,Carl Fysh,,,,,,,,
Brother Beyond,David Ben White,,,,,,,,
Brother Beyond,Nathan Moore,,751,,,,,,
Brother Beyond,Steve Alexander,,50,,,,,,
BTS,J-Hope,0b1sIQumIAsNbqAoIClSpy,5328343,j-hope,81,81,2019-10-12,Chicken Noodle Soup,3e7ff9125c518e290007ff8c5831bb621f3a8813
BTS,Jimin,,1614,,,,,,
BTS,Jin,,61371,,,,,,
BTS,Jungkook,,14049,,,,,,
BTS,RM,2auC28zjQyVTsiZKNgPRGs,4735003,RM,,,,,721ed458946bcc6a43a0dbc8371dcea7d50df07f
BTS,Suga,0ebNdVaOfp6N0oZ1guIxM8,388594,SUGA,,,,,d11282afed0dd7898b08a9cd58d71e6f22120d53
BTS,V,3JsHnjpbhX4SnySpvpa9DK,2467534,V,,,,,ab67616d00001e0220af30dc4a6011fc11632211
Color Me Badd,Bryan Abrams,,117,,,,,,
