name,followers,spotifyName
112,783176,112
*NSYNC,1436241,*NSYNC
2gether,18601,2gether
5 Seconds of Summer,7143202,5 Seconds of Summer
5ive,18961,5ive
98º,301876,98º
All-4-One,467517,All-4-One
Aventura,4380596,Aventura
Az Yet,181326,Az Yet
B2K,531524,B2K
Backstreet Boys,3676534,Backstreet Boys
BBMak,60068,BBMAK
Big Time Rush,2039449,Big Time Rush
Blackstreet,545047,Blackstreet
Boyz II Men,2022528,Boyz II Men
Brother Beyond,14586,Brother Beyond
BTS,29374524,BTS
Color Me Badd,317852,Color Me Badd
Day26,218383,DAY26
Guys Next Door,2823,Guys Next Door
Hanson,322502,Hanson
Hi-Five,370330,Hi-Five
Ideal,6086,Ideal
Immature,105106,Immature
Jagged Edge,1408948,Jagged Edge
Jodeci,1318995,Jodeci
Jonas Brothers,4944477,Jonas Brothers
LFO,29487,LFO
Menudo,227720,Menudo
Mindless Behavior,197646,Mindless Behavior
Musical Youth,21584,Musical Youth
New Edition,1038282,New Edition
New Kids On The Block,508116,New Kids On The Block
Nine Days,69356,Nine Days
No Mercy,33228,No Mercy
Nu Flavor,17145,Nu Flavor
O-Town,203409,O-Town
One Direction,20067462,One Direction
Perfect Gentlemen,135,Perfect Gentlemen
Playa,29954,Playa
Shai,512274,Shai
Silk,800936,Silk
Son By Four,75791,Son By Four
Soul For Real,396425,Soul For Real
Take That,959678,Take That
The Boys,55261,The Boys
The Click Five,177426,The Click Five
The Wanted,2191977,The Wanted
Troop,294555,Troop
U.N.V.,3814,U.N.V.
Westlife,2051082,Westlife
Youngstown,16834,Youngstown
Destiny's Child,4629097,Destiny's Child
Little Mix,8725084,Little Mix
TLC,2500183,TLC
Spice Girls,2134587,Spice Girls
Fifth Harmony,12169136,Fifth Harmony
BLACKPINK,19409977,BLACKPINK
En Vogue,864258,En Vogue
The Pussycat Dolls,4079432,The Pussycat Dolls
The Bangles,830987,The Bangles
SWV,1235614,SWV
Dream,189722,Dream
702,491227,702
Jade,22136,Jade
Blaque,325022,Blaque
3LW,402590,3LW
Wilson Phillips,349955,Wilson Phillips
B*Witched,147713,B*Witched
Sweet Sensation,48856,Sweet Sensation
Klymaxx,178818,Klymaxx
Brownstone,291392,Brownstone
Bananarama,485203,Bananarama
Exposé,172465,Exposé
Mary Jane Girls,174245,Mary Jane Girls
Xscape,1028402,Xscape
All Saints,359070,All Saints
The Sugababes,475556,Sugababes
Wonder Girls,399975,Wonder Girls
Danity Kane,452787,Danity Kane
Total,340057,Total
Salt-n-Pepa,514940,Salt-N-Pepa
Divine,2992,Divine
The Cover Girls,69030,The Cover Girls
